Predicted Price,Actual Price,Error
7881864.285714285,7350000.0,531864.2857142854
7881864.285714285,8600000.0,-718135.7142857146
7881864.285714285,7950000.0,-68135.71428571455
8712749.999999998,8100000.0,612749.9999999981
7881864.285714285,8400000.0,-518135.71428571455
7881864.285714285,8200000.0,-318135.71428571455
8712749.999999998,8500000.0,212749.99999999814
7881864.285714285,6600000.0,1281864.2857142854
8668583.333333332,9500000.0,-831416.6666666679
8712749.999999998,8200000.0,512749.99999999814
7881864.285714285,8500000.0,-618135.7142857146
7881864.285714285,8350000.0,-468135.71428571455
7881864.285714285,7600000.0,281864.28571428545
8668583.333333332,8700000.0,-31416.66666666791
8712749.999999998,8700000.0,12749.999999998137
7881864.285714285,8200000.0,-318135.71428571455
7881864.285714285,7550000.0,331864.28571428545
7881864.285714285,8100000.0,-218135.71428571455
7881864.285714285,7550000.0,331864.28571428545
7881864.285714285,7800000.0,81864.28571428545
7881864.285714285,8100000.0,-218135.71428571455
7881864.285714285,7400000.0,481864.28571428545
7881864.285714285,7700000.0,181864.28571428545
7881864.285714285,7800000.0,81864.28571428545
7881864.285714285,7000000.0,881864.2857142854
8668583.333333332,8700000.0,-31416.66666666791
8668583.333333332,9500000.0,-831416.6666666679
8712749.999999998,9000000.0,-287250.00000000186
8712749.999999998,8000000.0,712749.9999999981
8712749.999999998,7850000.0,862749.9999999981
7881864.285714285,8400000.0,-518135.71428571455
7881864.285714285,8050000.0,-168135.71428571455
8668583.333333332,9850000.0,-1181416.666666668
7881864.285714285,7400000.0,481864.28571428545
7881864.285714285,7300000.0,581864.2857142854
8712749.999999998,8700000.0,12749.999999998137
7881864.285714285,8300000.0,-418135.71428571455
7881864.285714285,7900000.0,-18135.71428571455
8712749.999999998,7850000.0,862749.9999999981
8668583.333333332,9200000.0,-531416.6666666679
8712749.999999998,8100000.0,612749.9999999981
7881864.285714285,8000000.0,-118135.71428571455
8668583.333333332,9600000.0,-931416.6666666679
7881864.285714285,8500000.0,-618135.7142857146
8712749.999999998,8500000.0,212749.99999999814
7881864.285714285,7800000.0,81864.28571428545
7881864.285714285,8200000.0,-318135.71428571455
8646083.333333332,9600000.0,-953916.6666666679
8712749.999999998,8450000.0,262749.99999999814
7881864.285714285,8100000.0,-218135.71428571455
7881864.285714285,8000000.0,-118135.71428571455
8014150.0,7500000.0,514150.0
7881864.285714285,8900000.0,-1018135.7142857146
7881864.285714285,8600000.0,-718135.7142857146
7881864.285714285,7600000.0,281864.28571428545
7881864.285714285,7800000.0,81864.28571428545
7881864.285714285,8150000.0,-268135.71428571455
7881864.285714285,8200000.0,-318135.71428571455
7881864.285714285,7450000.0,431864.28571428545
7881864.285714285,8300000.0,-418135.71428571455
7881864.285714285,7800000.0,81864.28571428545
7881864.285714285,8850000.0,-968135.7142857146
7881864.285714285,8100000.0,-218135.71428571455
8712749.999999998,8300000.0,412749.99999999814
7881864.285714285,7000000.0,881864.2857142854
8668583.333333332,11200000.0,-2531416.666666668
7881864.285714285,7600000.0,281864.28571428545
8668583.333333332,9600000.0,-931416.6666666679
7881864.285714285,8200000.0,-318135.71428571455
7881864.285714285,7850000.0,31864.28571428545
7881864.285714285,7200000.0,681864.2857142854
7881864.285714285,7600000.0,281864.28571428545
7881864.285714285,8550000.0,-668135.7142857146
7881864.285714285,8200000.0,-318135.71428571455
7881864.285714285,7400000.0,481864.28571428545
7881864.285714285,7800000.0,81864.28571428545
7881864.285714285,8750000.0,-868135.7142857146
7881864.285714285,8100000.0,-218135.71428571455
7881864.285714285,8600000.0,-718135.7142857146
7881864.285714285,8800000.0,-918135.7142857146
7881864.285714285,7600000.0,281864.28571428545
7881864.285714285,7000000.0,881864.2857142854
