Predicted Price,Actual Price,Error
8183200.0,8150000,33200.0
7398000.0,7400000,-2000.0
7812328.571428571,7750000,62328.5714285709
8625133.333333332,8800000,-174866.6666666679
8313400.0,8400000,-86600.0
8629966.666666666,8600000,29966.666666666046
8027000.0,8000000,27000.0
8139188.88888889,8200000,-60811.111111110076
7830000.0,7900000,-70000.0
8364000.0,8300000,64000.0
8358000.0,8500000,-142000.0
8136547.619047619,8100000,36547.6190476194
9160785.714285713,9350000,-189214.2857142873
9509600.0,9500000,9600.0
8565200.0,8700000,-134800.0
7564683.333333332,7600000,-35316.66666666791
8442750.0,8300000,142750.0
8314500.0,8300000,14500.0
8280000.0,8200000,80000.0
8629966.666666666,8700000,-70033.33333333395
7604900.0,7550000,54900.0
9045000.0,9000000,45000.0
8013000.0,8000000,13000.0
8558666.666666666,8650000,-91333.33333333395
8305844.444444444,8300000,5844.4444444440305
7218000.0,7100000,118000.0
9283600.0,9200000,83600.0
8278000.0,8300000,-22000.0
7918000.0,7900000,18000.0
7604900.0,7700000,-95100.0
7556000.0,7600000,-44000.0
7538000.0,7500000,38000.0
8931495.238095237,9000000,-68504.76190476306
8685000.0,8700000,-15000.0
7582000.0,7600000,-18000.0
7888416.666666666,7650000,238416.66666666605
8243500.0,8100000,143500.0
7903000.0,8000000,-97000.0
8373933.333333332,8350000,23933.33333333209
8810166.666666666,8800000,10166.666666666046
8375666.666666666,8500000,-124333.33333333395
8387000.0,8300000,87000.0
8212264.285714286,8250000,-37735.71428571362
8775000.0,8800000,-25000.0
8708000.0,8800000,-92000.0
8552000.0,8600000,-48000.0
8492000.0,8400000,92000.0
8500000.0,8500000,0.0
8394400.0,8350000,44400.0
9283600.0,9200000,83600.0
8475333.333333334,8450000,25333.333333333954
7610000.0,7500000,110000.0
8320000.0,8300000,20000.0
8260500.0,8400000,-139500.0
8303000.0,8300000,3000.0
7956000.0,8000000,-44000.0
6998666.666666666,7000000,-1333.3333333339542
8287666.666666666,8250000,37666.666666666046
7548000.0,7500000,48000.0
9851033.333333334,9800000,51033.333333333954
8214733.333333334,8150000,64733.333333333954
8212264.285714286,8200000,12264.28571428638
8469785.714285715,8500000,-30214.28571428545
8030000.0,8000000,30000.0
7984000.0,7850000,134000.0
8018000.0,8000000,18000.0
8195833.333333334,8100000,95833.33333333395
9602273.809523812,9450000,152273.80952381156
7530000.0,7500000,30000.0
8455000.0,8500000,-45000.0
7574000.0,7500000,74000.0
7980700.0,7950000,30700.0
8133000.0,8200000,-67000.0
8308000.0,8300000,8000.0
8375033.333333332,8200000,175033.3333333321
9785000.0,9750000,35000.0
7823800.0,7800000,23800.0
7994000.0,8000000,-6000.0
8101000.0,8100000,1000.0
7456000.0,7500000,-44000.0
7912000.0,8000000,-88000.0
8294000.0,8300000,-6000.0
8619466.666666666,8500000,119466.66666666605
9509600.0,9500000,9600.0
8638750.0,8700000,-61250.0
7372857.142857142,7350000,22857.142857141793
8526666.666666666,8550000,-23333.333333333954
8199222.222222222,8200000,-777.7777777779847
8535557.142857142,8600000,-64442.85714285821
7824000.0,7800000,24000.0
7858000.0,7900000,-42000.0
7430033.333333332,7400000,30033.33333333209
7541900.0,7500000,41900.0
10002000.0,10100000,-98000.0
10039866.666666668,10100000,-60133.33333333209
8179000.0,8100000,79000.0
8735633.333333332,8800000,-64366.66666666791
8215000.0,8200000,15000.0
8222000.0,8200000,22000.0
8287666.666666666,8300000,-12333.333333333954
8310000.0,8200000,110000.0
7395916.666666666,7300000,95916.66666666605
7658000.0,7600000,58000.0
8225466.666666666,8100000,125466.66666666605
9061333.333333334,9000000,61333.333333333954
8314000.0,8200000,114000.0
8135166.666666666,8200000,-64833.333333333954
7372857.142857142,7400000,-27142.857142858207
7638000.0,7600000,38000.0
8171500.0,8200000,-28500.0
7398000.0,7300000,98000.0
8503000.0,8600000,-97000.0
8775000.0,8800000,-25000.0
7372000.0,7500000,-128000.0
8982683.333333332,8900000,82683.33333333209
8490714.285714285,8500000,-9285.714285714552
8228500.0,8200000,28500.0
8028000.0,7900000,128000.0
8288000.0,8300000,-12000.0
9665000.0,9850000,-185000.0
9851033.333333334,9900000,-48966.666666666046
8382261.904761905,8400000,-17738.09523809515
8229666.666666666,8300000,-70333.33333333395
8738014.285714285,8850000,-111985.71428571455
8436733.333333332,8500000,-63266.66666666791
8164000.0,8000000,164000.0
10219666.666666666,10300000,-80333.33333333395
8276000.0,8300000,-24000.0
8753666.666666668,8750000,3666.6666666679084
8582000.0,8500000,82000.0
7440000.0,7350000,90000.0
7250000.0,7200000,50000.0
7787850.0,7800000,-12150.0
6912000.0,6900000,12000.0
8728299.999999998,8750000,-21700.000000001863
8848000.0,9000000,-152000.0
8108000.0,8100000,8000.0
8472700.0,8300000,172700.0
7748000.0,7800000,-52000.0
8275782.53968254,8250000,25782.53968254011
8021849.999999999,8050000,-28150.00000000093
8738014.285714285,8700000,38014.28571428545
8647000.0,8800000,-153000.0
8212264.285714286,8200000,12264.28571428638
7476000.0,7400000,76000.0
7208100.0,7200000,8100.0
6878000.0,6800000,78000.0
8463000.0,8450000,13000.0
9160785.714285713,9350000,-189214.2857142873
8576000.0,8700000,-124000.0
8991249.999999998,8750000,241249.99999999814
8936128.57142857,9000000,-63871.4285714291
7680500.0,7600000,80500.0
7604900.0,7550000,54900.0
8228500.0,8200000,28500.0
8146833.333333332,8100000,46833.33333333209
9851033.333333334,9800000,51033.333333333954
